Question,Ground_Truth
Ai đã nhận Giải Erwin Plein Nemmers Về Kinh Tế?,/Giải Erwin Plein Nemmers Về Kinh Tế
Dmitry Muratov làm nghề gì?,TV Presenter
Alan Turing làm việc tại đâu?,Đại Học Cambridge
C.V. Raman làm việc tại đâu?,/Viện Khoa Học Ấn Độ
Nơi công tác của David J. Thouless là đâu?,"Đại Học California, Berkeley"
Quốc tịch của Adolf Otto Reinhold Windaus là gì?,Đức
Quốc tịch của Burton Richter là gì?,Hoa Kỳ
Nơi Charles Glover Barkla mất là ở đâu?,Edinburgh
Abdus Salam công tác tại đâu?,Đại Học Cambridge
Albert Einstein làm việc tại đâu?,Đại Học Karl Ở Praha
Ai là người ảnh hưởng đến Arthur Eddington?,/John William Graham
Ai là người được đề cử trong Triple: Abhijit Banerjee - Các nghiên cứu sinh nổi tiếng - /Dean Karlan?,/Dean Karlan
Trường đào tạo Y Học nổi tiếng nào mà Christian B. Anfinsen từng tham gia?,/Trường Y Học Harvard
David MacMillan làm việc ở đâu?,/Trường Đại Học Princeton
Bạn biết Alfonso García Robles sinh ở đâu không?,Michoacán
Angus Deaton sinh ở đâu?,Scotland
Ai là con gái của Barack Obama?,/Sasha Obama
"Nơi Alexander R. Todd, Baron Todd làm việc là /Đại Học Bách Khoa Hatfield?",/Đại Học Bách Khoa Hatfield
Ai là người đồng nghiệp nổi tiếng của Adolf Von Baeyer?,/Carl Theodore Liebermann
Ai đã giành được /Giải Wolf Vật Lý?,/Giải Wolf Vật Lý
Quốc gia nào Adolf Butenandt sinh ra?,Đức
Thành phố nào Carl Bosch sinh ra?,Cologne
Daniel Kahneman có liên quan đến đâu?,Lãnh Thổ Uỷ Trị Palestine
Ai là người được đề cập trong Triple: Charles Thomson Rees Wilson - Các nghiên cứu sinh nổi tiếng - Cecil Frank Powell?,Cecil Frank Powell
C. V. Raman là thành viên của tổ chức nào?,/Hiệp Hội Khoa Học Ấn Độ Về Canh Tác
"Nơi Alexander R. Todd, Baron Todd mất là ở đâu?","/Oakington, Cambrigdeshire"
Abdus Salam sinh ở quốc gia nào thuộc Anh?,Ấn Độ Thuộc Anh
Ai đã được trao Giải Thưởng Nhà Nước Liên Xô?,Giải Thưởng Nhà Nước Liên Xô
Ai là người được ảnh hưởng bởi Amartya Sen?,/Robin Hahnel
Dennis Gabor nhận giải thưởng nào?,/Huân Chương Danh Dự IEEE
Albert Einstein đã nhận được giải thưởng nào vì đóng góp xuất sắc cho khoa học?,/Barnard Medal For Meritorious Service To Science
Câu hỏi: Ai là người hướng dẫn luận án tiến sĩ của Arthur Lewis?,/Arnold Plant
Charles T. R. Wilson đã qua đời ở đâu?,Scotland
Ai là /Ruth Bonnie Thompson?,/Ruth Bonnie Thompson
Abdus Salam đã đạt được danh hiệu nào trong lĩnh vực Vật Lý?,Giải Nobel Vật Lý
Ai đã được trao Giải thưởng Huân Chương Elliott Cresson?,/Huân Chương Elliott Cresson
Alan J. Heeger làm việc tại đâu?,Đại Học Pennsylvania
Akira Yoshino làm việc tại công ty nào?,/Asahi Kasei
Nơi Abdus Salam công tác là đâu?,/Trung Tâm Vật Lý Lý Thuyết Quốc Tế
Đâu là nơi sinh của André-Louis Debierne?,Paris
Albert Abraham Michelson đã nhận được giải thưởng nào?,Huy Chương Matteucci
Ai là người hướng dẫn luận án tiến sĩ của Ben Roy Mottelson?,Julian Schwinger
Quốc gia nào là quê hương của Alan MacDiarmid?,New Zealand
Quốc gia nào là quê hương của Daniel Kahneman?,Israel
Nơi Albert Einstein công tác là /Văn Phòng Sáng Chế Thụy Sĩ?,/Văn Phòng Sáng Chế Thụy Sĩ
Danh sách những người đoạt Giải Nobel Sinh lý học và Y khoa bao gồm ai?,Danh Sách Người Đoạt Giải Nobel Sinh Lý Học Và Y Khoa
Ở thành phố nào Alfred G. Gilman sinh ra?,"New Haven, Connecticut"
Ai là nơi sinh của Ales Bialiatski?,/Vyartsilya
Tại bang nào Christian B. Anfinsen mất?,Maryland
André Michel Lwoff sinh ở đâu?,Ainay-Le-Château
"Giải thưởng nào mà Alice Munro từng giành là ""/Giải Của Toàn Quyền Canda""?",/Giải Của Toàn Quyền Canda
Ai đã được trao giải thưởng Albert Claude?,Giải Paul Ehrlich Và Ludwig Darmstaedter
Khi nào Donald A. Glaser được trao giải thưởng?,1961
Ai đã được trao Giải thưởng /Nobel Peace Prize?,/Nobel Peace Prize
Quốc tịch của Daniel Kahneman là gì?,Israel
Con của Aleksandr Solzhenitsyn tên là ai?,/Ignat Solzhenitsyn
Alan MacDiarmid mất ở tiểu bang nào?,Pennsylvania
Bạn đã học ở trường nào mà Albrecht Kossel từng là giáo sư?,Đại Học Strasbourg
Ai là người hướng dẫn luận án tiến sĩ của Charles Glover Barkla?,/Oliver Lodge
Ai là người đồng sáng lập với Abhijit Banerjee của tổ chức nghiên cứu nổi tiếng J-PAL?,Esther Duflo
Ở thành phố nào Alexander Prokhorov sinh ra?,"/Atherton, Queensland"
Ngày nào Anatole France sinh?,16 Tháng 4
Người nào đã hướng dẫn luận án tiến sĩ của Albert Fert?,Không có người hướng dẫn tiến sĩ
Ai là người hướng dẫn tiến sĩ của Alan J. Heeger?,Không có người hướng dẫn tiến sĩ
Ai đã được trao Giải thưởng Lars Onsager Prize?,/Lars Onsager Prize
Trường đại học nào mà Arthur B. McDonald từng làm việc tại?,Caltech
Ngày nào Anatole France mất?,12 Tháng 10
Alexander Fleming sinh ở đâu?,/Ayrshire
Christian De Duve sinh ở đâu?,Surrey
Andre Geim đã giành được giải thưởng nào?,/Giải EuroPhysics
Amartya Sen làm việc tại đâu?,Đại Học Harvard
Nơi sinh của Alfred Sturtevant là ở đâu?,"Jacksonville, Illinois"
Trường nào mà Alan Turing đã từng công tác?,/Trường Mật Mã Chính Phủ Anh
Ai là những người đã đoạt giải Nobel Sinh Lý Học Và Y Khoa?,Danh Sách Người Đoạt Giải Nobel Sinh Lý Học Và Y Khoa
Luận án của Carl David Anderson là gì?,Luận án tiến sĩ
Đất nước nào đã chứng kiến sự mất của nhà nhà hoạt động nhân quyền nổi tiếng Andrei Sakharov?,Liên Xô
Học vị của Abhijit Banerjee là gì?,Doctor Of Philosophy
Ai là người cộng tác cùng August Wilhelm Von Hofmann trong các nghiên cứu nổi tiếng?,/Ferdinand Tiemann
Quốc tịch của Albrecht Kossel là gì?,Đức
Alan MacDiarmid làm việc tại đâu?,/Đại Học Texas Tại Dallas
Ai đã giành Giải Khoa Học Thế Giới Albert Einstein?,Giải Khoa Học Thế Giới Albert Einstein
Arthur Lewis làm việc ở đâu?,Đại Học Manchester
Quốc gia nào là quê hương của Aaron Ciechanover?,Palestine
Quốc tịch của Aaron Ciechanover là gì?,Israel
Ai đã giành được Giải Nobel?,Giải Nobel
Michael Duff tham gia vào lĩnh vực nghiên cứu nào?,/Michael Duff
Carolyn R. Bertozzi làm thay đổi lĩnh vực nào trong ngành hóa học?,/Kristi Kiick
Ai là phối ngẫu của Albert Szent-Györgyi?,/June Susan Wichterman
Ai là bạn đồng nghiệp nổi tiếng của August Wilhelm Von Hofmann?,/Adolf Pinner
Năm nào Ahmed Zewail đã giành Giải thưởng?,2006
Ai là người hướng dẫn luận án tiến sĩ của Anne L'Huillier?,Bernard Cagnac
Ai là người hướng dẫn luận án tiến sĩ của Abhijit Banerjee?,Eric Maskin
"Ai là người được đề cử trong Triple ""Carolyn R. Bertozzi - Các nghiên cứu sinh nổi tiếng - /Howard Hang""?",/Howard Hang
Ai là người được ảnh hưởng bởi Amartya Sen?,/Ben Fine
Ai là người phối ngẫu của Bob Dylan?,/Carolyn Dennis
"Albert Einstein đã từng đoạt giải thưởng nào trong danh sách sau: Nobel, Huy Chương Copley, Fields, Turing?",Huy Chương Copley
Bertil Ohlin sinh ở đâu?,"/Klippan, Scania"
André Michel Lwoff làm việc tại đâu?,Viện Pasteur
Arnold Sommerfeld đã nhận được giải thưởng nào liên quan đến Max Planck?,Huy Chương Max Planck
Allvar Gullstrand là người sinh ở quốc gia nào?,Thụy Điển
Anwar Sadat qua đời ở thành phố nào?,Cairo
Ai là người hướng dẫn luận án tiến sĩ của Ferdinand Von Lindemann?,Ferdinand Von Lindemann
Ai là những người đã đoạt giải Nobel Hóa Học?,Danh Sách Người Đoạt Giải Nobel Hóa Học
Quốc gia nào là quê hương của Abdus Salam?,Pakistan
Aage Bohr làm việc tại dự án nào?,Dự Án Manhattan
Arthur B. McDonald làm việc tại trường đại học nào?,/Queen'S University
Ở bang nào Alfred Hershey sinh ra?,Michigan
Aziz Sancar đã đạt được học vị gì?,Bác Sĩ
Alan Turing được trao tặng danh hiệu nào từ Phụ thủ tướng Anh?,Huân Chương Đế Quốc Anh
Arthur Ashkin sinh ở đâu?,Hoa Kỳ
Ai là người được ảnh hưởng bởi August Kekulé?,/Auguste Laurent
Ardem Patapoutian làm việc tại đâu?,/Scripps Research
Ai đã giành /Giải Của Viện Franklin?,/Giải Của Viện Franklin
Trường Đại Học nào mà Donald A. Glaser đã tham dự?,/Đại Học Tây Case
Alexis Carrel sinh ở đâu?,Sainte-Foy-Lès-Lyon
Ai là người ảnh hưởng đến Amartya Sen?,John Maynard Keynes
Quốc tịch của nhà vật lý Ben R. Mottelson là gì?,Đan Mạch
Ai là nhà hóa học nổi tiếng được liên kết với Adolf Von Baeyer?,/John Ulric Nef (Nhà Hóa Học
Danh sách những người đã đoạt Giải Nobel Hóa Học là gì?,Danh Sách Người Đoạt Giải Nobel Hóa Học
"Bạn có thể cung cấp một câu hỏi tiếng Việt ngắn mà câu trả lời là ""Https://Www.Worldcat.Org/Title/Stereocontrolled-Formation-Of-Bicyclic-Tetrahydrofurans-And-Enantioselective-Total-Synthesis-Of-Eunicellin-Diterpenes/Oclc/35966904""?",Https://Www.Worldcat.Org/Title/Stereocontrolled-Formation-Of-Bicyclic-Tetrahydrofurans-And-Enantioselective-Total-Synthesis-Of-Eunicellin-Diterpenes/Oclc/35966904
Ai là người được đề cử trong Triple: August Wilhelm Von Hofmann - Các nghiên cứu sinh nổi tiếng - /Karl Friedrich Von Auwers?,/Karl Friedrich Von Auwers
Andre Geim đã từng đoạt giải thưởng nào?,/Giải Mott
Trường đại học nào mà Alexander Fleming đã học tại đó?,/Imperial College London
Năm nào Donald A. Glaser được trao Giải Nobel Vật lý cho công trình về phối ngẫu?,1975
Ai là con cái của Albert Einstein?,Hans Albert Einstein
Albrecht Kossel đã từng giảng dạy tại trường lớp nào?,/Đại Học Rostock
Arthur Lewis là giáo sư tại trường đại học nào?,/Trường Kinh Tế London
Quốc gia nào là quê hương của Akira Yoshino?,Nhật Bản
Ai là người hướng dẫn tiến sĩ của Abram Ioffe?,Không có người hướng dẫn tiến sĩ
Ai là quê hương của Andrei Sakharov?,Cộng Hòa Xã Hội Chủ Nghĩa Xô Viết Liên Bang Nga
Ai đã được trao Giải Nobel Vật Lý?,Giải Nobel Vật Lý
"Năm nào Alexander R. Todd, Baron Todd đã giành giải thưởng?",1970
Annie Ernaux đã học tại trường đại học nào?,/Đại Học Rouen
Nơi sinh của Aaron Ciechanover là ở đâu?,Haifa
Ai là con trai thứ hai của Albert Einstein?,"Gia Đình Einstein#Eduard ""Tete"" Einstein (Con Trai Thứ Hai Của Einstein"
Bạn muốn biết nguồn gốc của luận án của Anne L'Huillier?,Https://Www.Theses.Fr/1986PA066268
Ai là người đã được trao Huân Chương Lenin với danh hiệu Giải thưởng Abram Ioffe?,Huân Chương Lenin
Alan J. Heeger đã nhận được giải thưởng nào?,Giải Balzan
Andrew Schally đã nhận được giải thưởng nào?,Giải Albert Lasker Cho Nghiên Cứu Y Học Cơ Bản
"Ngày Alexander R. Todd, Baron Todd sinh là ngày nào?",2 Tháng 10
Abhijit Banerjee đã học vị ở đâu?,"/Presidency College, Kolkata"
Annie Ernaux học ở đâu?,Đại Học Bordeaux
Burton Richter sinh ở đâu?,Thành Phố New York
Abiy Ahmed sinh ở tỉnh nào?,/Tỉnh Kaffa
Alan Turing làm việc ở đâu?,Phòng Thí Nghiệm Vật Lý Quốc Gia
Carol W. Greider nhận giải thưởng nào?,Giải Louisa Gross Horwitz
Ở đâu Alan Greenspan sinh ra?,Thành Phố New York
Martha Nussbaum là ai?,/Martha Nussbaum
Trường đại học nào mà Alfred Werner đã giảng dạy?,ETH Zürich
Ai là người đồng sáng lập với Abhijit Banerjee trong phương pháp nghiên cứu phối ngẫu?,Esther Duflo
Bạn biết trường nào mà Donald A. Glaser đã tham gia không?,/Trường Kỹ Thuật Case
Albert Schweitzer đã được vinh danh bằng giải thưởng nào?,Giải Nobel Hòa Bình
Quốc tịch của Bernardo Houssay là gì?,Argentina
Ai là sinh viên nổi tiếng của Arnold Sommerfeld?,/Walter Heitler
Adolf Butenandt làm việc tại đâu?,/Viện Hóa Sinh Max Planck
Ai là người sinh ra Charles Glover Barkla?,Anh
Carl Bosch đã đoạt giải thưởng nào mà được coi là một trong những giải thưởng danh giá nhất tại Đức?,Giải Goethe
Albert Fert sinh ở đất nước nào?,Pháp
Ai là quốc gia mà Cyril Norman Hinshelwood sinh ra?,Anh
Ai là người đã ảnh hưởng đến Albert Einstein?,Hendrik Lorentz
Ai là người đã được trao Huy Chương Eddington?,Huy Chương Eddington
David Hume sinh vào năm nào theo lịch /New Style?,/New Style
Amartya Sen đã từng đoạt giải thưởng nào mà không phải là Giải Nobel Kinh Tế?,Giải Nobel Kinh Tế
Albert Fert đã nhận giải thưởng nào trong lĩnh vực Vật lý?,Giải Wolf Vật Lý
Albrecht Kossel sinh vào năm nào?,1853
Nơi Baron Todd công tác là đâu?,Đại Học London
Sinh nhật của Anwar Sadat là vào ngày nào trong năm?,25 Tháng 12
Abiy Ahmed đã đạt được bằng cấp nào trong lĩnh vực giáo dục?,Doctor Of Philosophy
Albert Einstein đã từng công tác tại đâu?,Đại Học Oxford
Charles Glover Barkla sinh ở đâu?,/Widnes
Boris Pasternak sinh vào năm nào?,1890
Ai là người được biết đến với các nghiên cứu sinh hóa nổi tiếng và có mối quan hệ với Adolf Von Baeyer?,Hermann Emil Fischer
Ai là người có liên quan đến Charles J. Pedersen và sinh tại Đế Quốc Đại Hàn?,Đế Quốc Đại Hàn
Ai là con trai của Bob Dylan?,/Jesse Dylan
Quốc tịch của Alfred Sturtevant là gì?,Mỹ
Albert Camus học tại trường nào?,/Đại Học Algiers
Ai là người cộng tác với Abdus Salam trong các nghiên cứu nổi tiếng?,/Ghulam Dastagir Alam
Dennis Gabor làm việc tại công ty nào?,/British Thomson-Houston
Barbara McClintock đã nhận giải thưởng nào mà Huy Chương Thomas Hunt Morgan cũng từng được vinh danh?,Huy Chương Thomas Hunt Morgan
Ai là nơi công tác của Ada Yonath?,/Viện Khoa Học Weizmann
Quốc tịch của Clifford Shull là gì?,Hoa Kỳ
Dan Shechtman sinh ở thành phố nào?,Tel Aviv
Burton Richter làm việc tại đâu?,/Stanford Linear Accelerator Center
Ai là người được đề cử cho giải Nobel Vật lý vào năm 1936 cùng với Carl David Anderson?,/James C. Fletcher
Anwar Sadat sinh ở tỉnh nào?,/Monufia
August Kekulé đã giảng dạy tại trường lớp nào?,/Đại Học Ghent
Trường đại học nào mà Andrei Sakharov từng giảng dạy tại?,Đại Học Quốc Gia Moscow
Ai là người được đề cử giải Nobel Vật lý vào năm 1974?,Anh
Danh sách các người đoạt giải Nobel Sinh lý học và Y khoa bao gồm ai?,Danh Sách Người Đoạt Giải Nobel Sinh Lý Học Và Y Khoa
Quốc tịch của nhà khoa học Albert Szent-Györgyi là gì?,Hungary
Arnold Sommerfeld đã nhận được giải thưởng nào có tên là gì?,Huy Chương Lorentz
Nơi công tác của Albert Einstein là đâu?,Viện Công Nghệ California
Trường học nào Arnold Sommerfeld đã tham gia giảng dạy tại?,/Đại Học Königsberg
Quốc tịch của Daron Acemoglu là gì?,Hoa Kỳ
Ai là người hướng dẫn luận án tiến sĩ của Andrei Sakharov?,Không có người hướng dẫn tiến sĩ
Abiy Ahmed đã học tại trường đại học nào?,/Đại Học Ashland
André Michel Lwoff làm việc tại đâu?,/Max Planck Institute For Medical Research
David MacMillan sinh ở đâu?,Scotland
Nhà phê bình xã hội và triết gia người Ấn Độ nào đã ảnh hưởng đến Amartya Sen?,B. R. Ambedkar
Ahmed Zewail đã đạt được giải thưởng nào?,Giải Nobel Hóa Học
Ai không có người hướng dẫn tiến sĩ?,Không có người hướng dẫn tiến sĩ
Albert Claude là người nước nào?,Bỉ
Carol W. Greider công tác tại đâu?,Đại Học Johns Hopkins
"Trường đại học nào mà Alexander R. Todd, Baron Todd từng làm giáo sư?",Đại Học Glasgow
Bạn biết thành phố nào Artturi Ilmari Virtanen sinh ra không?,Helsinki
Quốc tịch của Ahmed Zewail là gì?,Hoa Kỳ
Quốc gia nào Austen Chamberlain sinh?,England
Ai là nguồn ảnh hưởng lớn đối với Amartya Sen?,Rabindranath Tagore
Nơi công tác của Albert Fert là gì?,/Đại Học Paris-Sud 11
Ai là người hướng dẫn luận án tiến sĩ của Albert Abraham Michelson?,Hermann Helmholtz
Năm nào Charles Nicolle mất?,1936
Arthur Lewis qua đời ở đâu?,"Saint Michael, Barbados"
Quốc tịch của nhà khoa học Arthur Ashkin là gì?,Hoa Kỳ
Craig Mello sinh ở tiểu bang nào?,Connecticut
Ben Feringa sinh ra ở đâu?,/Barger-Compascuum
Adam Riess đã đo lường các thông số nào để giành được Giải Shaw?,Giải Shaw
Dario Fo sinh ra ở quốc gia nào?,Ý
Abdulrazak Gurnah đã đạt được giải thưởng nào nổi bật trong lĩnh vực văn chương?,Giải Nobel Văn Chương
Ai là người hướng dẫn luận án tiến sĩ của Carl David Anderson?,Không có người hướng dẫn tiến sĩ
David J. Thouless mất ở đâu?,Cambridge
Ai là người phối ngẫu của Andrei Sakharov?,/Klavdia Alekseyevna Vikhireva
Ai là người có ảnh hưởng đến Amartya Sen?,/Peter Bauer
"Nơi nào mà Alexander R. Todd, Baron Todd đã công tác?",Đại Học Cambridge
Albert Einstein mất ở đâu?,Mỹ
Quốc tịch của Adam Riess là gì?,Hoa Kỳ
"Quốc tịch của Alexander R. Todd, Baron Todd là gì?",Anh
Nơi công tác của Charles Glover Barkla là gì?,/Cao Đẳng King London
Ai là người được ảnh hưởng bởi Amartya Sen?,/Kotaro Suzumura
Quốc tịch của Alexander Prokhorov là gì?,Nga
Anton Zeilinger làm việc tại trường đại học nào?,/Đại Học Vienna
Angus Deaton làm việc tại đâu?,Đại Học Princeton
Ai đã được trao Giải Nobel Vật Lý?,Giải Nobel Vật Lý
Alexis Carrel sinh ở đâu?,"Rhône, Rhône-Alpes"
Nơi công tác của Arieh Warshel là gì?,University Of Southern California
Năm nào André Frédéric Cournand mất?,1988
Câu hỏi: Ai là người cộng tác với Daniel Kahneman trong nghiên cứu?,/Anat Ninio
Einstein làm việc ở đâu?,/Đại Học Bern
Quốc tịch của Carl Bosch là gì?,Đức
Ales Bialiatski sinh ở đâu?,Nga
Abiy Ahmed đã tốt nghiệp ở trường đại học nào?,Đại Học Greenwich
Alice Munro đã điều tra về sự mất mát ở đâu?,/Port Hope
Bạn muốn biết trường đại học nào mà Copernicus đã theo học không?,Đại Học Jagiellonia
Bạn có thể cung cấp đường link đến luận án của Antony Hewish không?,Http://Ulmss-Newton.Lib.Cam.Ac.Uk/Vwebv/HoldingsInfo?BibId=35256
Nơi Charles J. Pedersen sinh là thành phố nào?,Busan
Corneille Heymans làm việc tại đâu?,/Đại Học Ghent
Ở đâu Anne L'Huillier sinh?,Paris
Aleksandr Solzhenitsyn đã đạt được giải thưởng nổi bật nào?,Giải Thưởng Nhà Nước Liên Bang Nga
Arieh Warshel là giáo sư tại trường đại học nào?,/Weizmann Institute Of Science
Quốc tịch của nhà khoa học Abdus Salam là gì?,Pakistan
Aziz Sancar sinh ra ở đất nước nào?,Thổ Nhĩ Kỳ
Năm nào Charles Nicolle sinh?,1866
Thành phố nào Alfred Werner sinh ra?,Mulhouse
Amartya Sen làm việc tại đâu?,"Đại Học California, Berkeley"
Abdus Salam sinh vào năm nào?,1926
Albert Fert là giáo sư tại trường nào?,/Đại Học Paris-Sud 11
Thành phố nào mà Clifford Shull sinh ra?,Pittsburgh
Abdus Salam học tại trường nào?,"/Cao Đẳng Saint John, Cambridge"
"Bạn biết thành phố nào là nơi sinh của Alexander R. Todd, Baron Todd không?",Glasgow
Alfred Kleiner làm việc tại đâu?,Đại Học Zürich
Ai là người được ảnh hưởng bởi Arnold Sommerfeld?,/Léon Brillouin
Nơi Donald A. Glaser mất là ở đâu?,"Berkeley, California"
Charles G. Dawes học tại trường đại học nào?,/Đại Học Cincinnati
Danh sách người đoạt Giải Nobel Sinh lý học và Y khoa bao gồm những ai?,Danh Sách Người Đoạt Giải Nobel Sinh Lý Học Và Y Khoa
Ở thành phố nào Ben R. Mottelson sinh ra?,Chicago
Andre Geim làm việc tại đâu?,Đại Học Manchester
Brian P. Schmidt học tại trường đại học nào?,Đại Học Harvard
Ai là người hướng dẫn tiến sĩ của August Wilhelm Von Hofmann?,Không có người hướng dẫn tiến sĩ
Alice Munro đã từng đoạt giải thưởng văn học nổi bật nào?,Giải Nobel Văn Học
Trường đại học nào mà Antony Hewish từng làm việc tại?,Đại Học Cambridge
Quốc tịch của Carl Bosch là gì?,Đức
Học vị của David MacMillan là gì?,Cử Nhân Khoa Học
Đâu là giải thưởng danh giá dành cho phụ nữ trong lĩnh vực khoa học mà Anne L'Huillier từng nhận được?,/Giải Thưởng L'Oréal-UNESCO Dành Cho Phụ Nữ Trong Khoa Học
Quốc tịch của nhà hóa học nổi tiếng Benjamin List là gì?,Đức
Ai đã giành được Giải Smith?,/Giải Smith
Daniel Kahneman có học vị gì?,/Thạc Sĩ Nghệ Thuật
Alan Turing làm việc tại đâu?,Đại Học Manchester
Nơi sinh của Angus Deaton là ở đâu?,Edinburgh
Ai là người hướng dẫn tiến sĩ của Alfred Sturtevant?,Không có người hướng dẫn tiến sĩ
"Ai là người đã được gọi là ""/Vikram Sarabhai Ambalal""?",/Vikram Sarabhai Ambalal
Trường đại học nào Brian Kobilka đã tham gia giảng dạy tại?,"/Đại Học Minnesota, Duluth"
Ở đâu David MacMillan đã nhận học vị của mình?,"Đại Học California, Irvine"
Arthur Eddington đã từng được trao giải thưởng nào?,/Order Of Merit
Ai là người được ảnh hưởng bởi August Wilhelm Von Hofmann?,/William Henry Perkin
Albert Abraham Michelson làm việc tại đâu?,/Đại Học Clark
Ở đâu Charles Glover Barkla sinh ra?,Cheshire
Ai là người hướng dẫn luận án tiến sĩ của David Julius?,Randy Schekman
Albert Einstein đã làm việc tại đâu?,Đại Học Berlin Humboldt
Arthur Amos Noyes đã học tại trường đại học nào?,Đại Học Leipzig
Ai đã được trao Giải thưởng Charles K. Kao?,/Huân Chương Faraday
André-Louis Debierne mất ở quốc gia nào?,Pháp
Ai là phối ngẫu của Albert Szent-Györgyi?,/Marcia Houston
Carolyn R. Bertozzi đã đạt được giải thưởng nào?,/Giải Heinrich Wieland
Ai là người đầu tiên đoạt giải Nobel Kinh tế năm 2015?,Anh
Năm nào Albert Schweitzer mất đi?,1965
David MacMillan đạt được học vị nào?,/Tiến Sĩ Triết Học
Andre Geim đã từng giành giải thưởng nào?,Giải Ig Nobel
Abram Ioffe sinh ở đế quốc nào?,Đế Quốc Nga
C.V. Raman làm việc tại bộ nào ở Ấn Độ?,/Bộ Tài Chính Ấn Độ
Anne L'Huillier được trao giải thưởng nào trong lĩnh vực Vật Lý?,Giải Nobel Vật Lý
Quốc tịch của Dan Shechtman là gì?,Israel
"Ai là người đã nhận ""Giải Khoa Học Thế Giới Albert Einstein""?",Giải Khoa Học Thế Giới Albert Einstein
Danh sách những người đã giành Giải Nobel trong lĩnh vực Sinh lý học và Y khoa là gì?,Danh Sách Người Đoạt Giải Nobel Sinh Lý Học Và Y Khoa
Nơi sinh của Arthur Ashkin là ở đâu?,"Brooklyn, New York"
Anne L'Huillier học vị ở đâu?,Đại Học Sorbonne
Clifford Shull mất ở tiểu bang nào?,Massachusetts
Alfred Sturtevant học tại trường đại học nào?,Đại Học Columbia
Alfred Werner làm việc ở đâu?,Đại Học Zürich
Alfred Werner sinh ở đâu?,Alsace
Benjamin List làm việc tại đâu?,Đại Học Hokkaido
Đất nước nào là quê hương của nhà khoa học Chen Ning Yang?,Trung Quốc
Nơi Andrei Sakharov sinh là ở đâu?,Moskva
Claudia Goldin đã đạt giải thưởng nào?,/Giải IZA Về Kinh Tế Lao Động
Adam Riess đã nhận được giải thưởng nào?,Huy Chương Albert Einstein
Ai là người hướng dẫn luận án tiến sĩ của Adolf Von Baeyer?,August Kekulé
Năm nào Albert Fert đã giành Giải thưởng?,2003
Charles G. Dawes học vị gì trong lĩnh vực giáo dục?,Bachelor Of Arts
Andre Geim làm việc tại đâu?,"/Viện Vật Lý Chất Rắn, Viện Hàn Lâm Khoa Học Nga"
Albert Abraham Michelson sinh ở đâu?,Vương Quốc Phổ
Daniel Kahneman học vị của ông là gì?,"Đại Học California, Berkeley"
Antony Hewish làm việc ở đâu?,Phòng Thí Nghiệm Cavendish
August Wilhelm Von Hofmann qua đời ở đâu?,Berlin
Bạn từ đâu?,Zamora
Giải thưởng nào mà Carolyn R. Bertozzi đã nhận được trong lĩnh vực Hóa học?,/Welch Award In Chemistry
Ai là người ảnh hưởng đến Amartya Sen trong lĩnh vực triết học và triết lý?,/Martha Nussbaum
Ai đã được trao Giải Nobel Vật Lý?,Giải Nobel Vật Lý
Thành phố nào là nơi sinh của Abhijit Banerjee?,Mumbai
Abdulrazak Gurnah sinh ở đâu?,/Sultanate Of Zanzibar
Ai đã giành Giải Wolf Về Hóa Học?,Giải Wolf Về Hóa Học
Amartya Sen sinh ở đâu?,Ấn Độ Thuộc Anh
Ai là người đã giành được Giải Isaac Newton?,/Giải Isaac Newton
Nơi Albert Einstein sinh ra là đâu?,Ulm
Ai là Các nghiên cứu sinh nổi tiếng được đề cử trong Triple: Charles Hard Townes - Các nghiên cứu sinh nổi tiếng - /Robert Boyd?,/Robert Boyd
Ai là người hướng dẫn luận án tiến sĩ của David Julius?,/Jeremy Thorner
Ai đã được trao Giải Nobel Vật Lý?,Giải Nobel Vật Lý
Quốc tịch của Alan J. Heeger là gì?,Hoa Kỳ
"Ai là người được đề cập trong Triple ""Abdus Salam - Các nghiên cứu sinh nổi tiếng - Walter Gilbert""?",Walter Gilbert
Arthur Eddington đã được trao giải thưởng nào?,/Bruce Medal
Ai là người nghiên cứu nổi tiếng trong Triple: Abdus Salam - Các nghiên cứu sinh nổi tiếng - /Abdul Hameed Nayyar?,/Abdul Hameed Nayyar
Quốc tịch của Alan Greenspan là gì?,Hoa Kỳ
Adolf Von Baeyer làm việc ở đâu?,Đại Học Kỹ Thuật Berlin
"Bạn biết Alexander R. Todd, Baron Todd làm việc tại đâu không?",Đại Học Manchester
Bạn biết nơi sinh của Bertram Brockhouse là ở đâu không?,Alberta
Ai là người mà Amartya Sen ảnh hưởng tới?,/Jean Drèze
Ai là người đã được Alfred Werner công nhận là một trong những nghiên cứu sinh nổi tiếng trong lĩnh vực hóa học?,Paul Karrer
Quốc tịch của Charles T. R. Wilson là gì?,Scotland
Ai là người được hướng dẫn luận án tiến sĩ bởi Arthur Amos Noyes?,Wilhelm Ostwald
Ai đã giành Giải Demidov trong lĩnh vực nào?,Giải Demidov
Ai là người cộng tác với Carolyn R. Bertozzi trong lĩnh vực nghiên cứu?,/Lara Mahal
David MacMillan đang làm việc ở đâu?,Đại Học Harvard
Ahmed Zewail làm việc tại đâu?,Viện Công Nghệ California
Trường Đại học nào mà August Wilhelm Von Hofmann là giáo sư tại đó?,/Đại Học Giessen
Amartya Sen sinh ra ở đâu?,/Bengal Presidency
